Actor/Actress	Movie	Year
50 CENT	BEEF	2003
50 CENT	BEFORE I SELF DESTRUCT	2009
50 CENT	THE MC: WHY WE DO IT	2005
50 CENT	CAUGHT IN THE CROSSFIRE	2010
50 CENT	THE FROZEN GROUND	2013
50 CENT	BEEF III	2005
50 CENT	LAST VEGAS	2013
50 CENT	GUN	2010
50 CENT	THE INFAMOUS TIMES, VOLUME I: THE ORIGINAL 50 CENT	2005
50 CENT	BLACK AND BLUE: LEGENDS OF THE HIP-HOP COP	2006
50 CENT	MORNING GLORY	2010
50 CENT	LIVE!	2007
50 CENT	13	2010
50 CENT	ALL THINGS FALL APART	2011
50 CENT	BEEF II	2004
50 CENT	GET RICH OR DIE TRYIN'	2005
50 CENT	FIRE WITH FIRE	2012
50 CENT	THE PRINCE	2014
50 CENT	BLOOD OUT	2011
50 CENT	ESCAPE PLAN	2013
50 CENT	SETUP	2011
50 CENT	JACK'S LAW	2006
50 CENT	HOME OF THE BRAVE	2006
50 CENT	DEAD MAN RUNNING	2009
50 CENT	STREETS OF BLOOD	2009
50 CENT	RIGHTEOUS KILL	2008
50 CENT	FREELANCERS	2012
50 CENT	LETTER TO THE PRESIDENT	2005
50 CENT	TWELVE	2010
BACON, KEVIN (I)	TRAPPED	2002
BACON, KEVIN (I)	FROST/NIXON	2008
BACON, KEVIN (I)	THE AIR UP THERE	1994
BACON, KEVIN (I)	TELLING LIES IN AMERICA	1997
BACON, KEVIN (I)	DIGGING TO CHINA	1997
BACON, KEVIN (I)	HOLLOW MAN	2000
BACON, KEVIN (I)	NOVOCAINE	2001
BACON, KEVIN (I)	R.I.P.D.	2013
BACON, KEVIN (I)	MURDER IN THE FIRST	1995
BACON, KEVIN (I)	THE RIVER WILD	1994
BACON, KEVIN (I)	JFK	1991
BACON, KEVIN (I)	LEMON SKY	1988
BACON, KEVIN (I)	CAVEDWELLER	2004
BACON, KEVIN (I)	ELEPHANT WHITE	2011
BACON, KEVIN (I)	BEAUTY SHOP	2005
BACON, KEVIN (I)	IN THE CUT	2003
BACON, KEVIN (I)	SUPER	2010
BACON, KEVIN (I)	RAILS & TIES	2007
BACON, KEVIN (I)	PYRATES	1991
BACON, KEVIN (I)	X-MEN: FIRST CLASS	2011
BACON, KEVIN (I)	STIR OF ECHOES	1999
BACON, KEVIN (I)	LOVERBOY	2005
BACON, KEVIN (I)	THE AIR I BREATHE	2007
BACON, KEVIN (I)	PICTURE PERFECT	1997
BACON, KEVIN (I)	THE WOODSMAN	2004
BACON, KEVIN (I)	WILD THINGS	1998
BACON, KEVIN (I)	DEATH SENTENCE	2007
BACON, KEVIN (I)	WHERE THE TRUTH LIES	2005
BACON, KEVIN (I)	MYSTIC RIVER	2003
BACON, KEVIN (I)	MY ONE AND ONLY	2009
BACON, KEVIN (I)	SLEEPERS	1996
BACON, KEVIN (I)	CRAZY, STUPID, LOVE.	2011
BACON, KEVIN (I)	MY DOG SKIP	2000
BACON, KEVIN (I)	A FEW GOOD MEN	1992
BACON, KEVIN (I)	JAYNE MANSFIELD'S CAR	2012
BACON, KEVIN (I)	APOLLO 13	1995
GIAMATTI, PAUL	THE LAST STATION	2009
GIAMATTI, PAUL	PRETTY BIRD	2008
GIAMATTI, PAUL	MY BEST FRIEND'S WEDDING	1997
GIAMATTI, PAUL	WIN WIN	2011
GIAMATTI, PAUL	MIGHTY APHRODITE	1995
GIAMATTI, PAUL	SHOOT 'EM UP	2007
GIAMATTI, PAUL	STORYTELLING	2001
GIAMATTI, PAUL	ROBOTS	2005
GIAMATTI, PAUL	TRUMBO	2007
GIAMATTI, PAUL	12 YEARS A SLAVE	2013
GIAMATTI, PAUL	THUNDERPANTS	2002
GIAMATTI, PAUL	DONNIE BRASCO	1997
GIAMATTI, PAUL	SIDEWAYS	2004
GIAMATTI, PAUL	SAVING PRIVATE RYAN	1998
GIAMATTI, PAUL	ROMEO & JULIET	2013
GIAMATTI, PAUL	MADAME BOVARY	2014
GIAMATTI, PAUL	PRIVATE PARTS	1997
GIAMATTI, PAUL	THE HAUNTED WORLD OF EL SUPERBEASTO	2009
GIAMATTI, PAUL	WINCHELL	1998
GIAMATTI, PAUL	DECONSTRUCTING HARRY	1997
GIAMATTI, PAUL	BIG FAT LIAR	2002
GIAMATTI, PAUL	FRED CLAUS	2007
GIAMATTI, PAUL	DUPLICITY	2009
GIAMATTI, PAUL	DOCTOR DOLITTLE	1998
GIAMATTI, PAUL	BARNEY'S VERSION	2010
GIAMATTI, PAUL	THE NANNY DIARIES	2007
GIAMATTI, PAUL	ERNEST ET CÈLESTINE	2012
GIAMATTI, PAUL	AMERICAN SPLENDOR	2003
GIAMATTI, PAUL	THE HANGOVER PART II	2011
GIAMATTI, PAUL	SAVING MR. BANKS	2013
GIAMATTI, PAUL	THE ILLUSIONIST	2006
GIAMATTI, PAUL	SINGLES	1992
GIAMATTI, PAUL	ALL IS BRIGHT	2013
GIAMATTI, PAUL	CONFIDENCE	2003
GIAMATTI, PAUL	BIG MOMMA'S HOUSE	2000
GIAMATTI, PAUL	SAFE MEN	1998
GIAMATTI, PAUL	THE AMAZING SPIDER-MAN 2	2014
GIAMATTI, PAUL	CINDERELLA MAN	2005
GIAMATTI, PAUL	THE ANT BULLY	2006
GIAMATTI, PAUL	LADY IN THE WATER	2006
GIAMATTI, PAUL	PAYCHECK	2003
GIAMATTI, PAUL	TURBO	2013
